page_title,subsection_title,text
1.首页,1.5 FineDataLink数仓,5、数据更新时点及可查看的业务数据日期
1.首页,1.5 FineDataLink数仓,数据更新结束时间：T+1上午十点可查看除CLV、营业收入、净利润T+2的完整数据，T+1晚上九点可查看除CLVT+1的完整数据，CLV更新时间为T+3。
2.净现金流,2.5 FineDataLink数仓,支付宝、微信支付的银行账户余额数据存在T+1的场景，例如：6号的支付宝数据，见知系统在7日上午9点左右汇聚生成，结算中台7日9点后才能拉取完整数据；6号的微信数据，见知系统在7日下午14点左右汇聚生成，结算中台7日14点后才能拉取完整数据。
2.净现金流,2.5 FineDataLink数仓,银行账户每日余额表历史数据
2.净现金流,2.5 FineDataLink数仓,) ENGINE=InnoDB DEFAULT CHARSET=utf8mb4 ROW_FORMAT=DYNAMIC COMMENT='银行账户每日余额表-历史数据';
2.净现金流,2.5 FineDataLink数仓,数据更新：每天3:00、12:30自动执行任务；
3.营业收入,3.5 FineDataLink数仓,营业收入日维度依赖于净利润日报填报的数据，月维度数据来源于财务的损益明细表（每日6:30更新）；
3.营业收入,3.5 FineDataLink数仓,数据更新：每天8:30、20:30自动执行任务；
4.营业收入-广告,4.5 FineDataLink数仓,4、数据更新：每天8:30、20:30自动执行任务；
5.营业收入-会员,5.5 FineDataLink数仓,4、数据源更新时间
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化广告收入：【第三方广告收入】的广告营收数据，日：当日的国际化广告收入汇总，月：当月的每日国际化广告收入汇总。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化广告ARPU：国际广告业务单用户平均收入，日：当日国际化广告收入/当日国际化广告DAU，月：当月的每日国家化广告收入汇总/当月的活跃用户数汇总。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化总eCPM：千次展示有效收入，日：当日国际化广告收入/当日国际化广告总曝光量/1000，月：当月的每日国际化广告收入汇总/当月国际广告业务中所有广告的曝光次数汇总/1000。
6.营业收入-国际化广告,6.5 FineDataLink数仓,4、数据更新时点及可查看的业务数据日期
6.营业收入-国际化广告,6.5 FineDataLink数仓,数据更新结束时间：T+1上午十点可查看T+2的完整数据，T+1晚上九点可查看T+1的完整数据。
7.营业收入-国际化会员,7.5 FineDataLink数仓,5、数据更新时点及可查看的业务数据日期
7.营业收入-国际化会员,7.5 FineDataLink数仓,数据更新结束时间：T+1上午十点可查看T+2的完整数据，T+1晚上九点可查看T+1的完整数据。
8.净利润,8.2指标口径/计算规则,第一步： FineDataLink任务每日17:31、18:35定时取数到sdm库表，涉及内容项目：品牌收入、效果收入、会员收入、效果极速版收入、推广费、品牌收入明细、效果收入明细、效果广告明细、效果广告汇总、国际化会员流水、国际化广告收入、国内会员日分摊营收、国际会员日分摊营收；任务成功完成后会推送消息到钉钉群通知专人进行净利润日报的填报；
8.净利润,8.5 FineDataLink数仓,"`update_time` datetime NOT NULL DEFAULT CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP COMMENT '最后更新时间',"
8.净利润,8.5 FineDataLink数仓,"`update_time` datetime NOT NULL DEFAULT CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP COMMENT '最后更新时间',"
8.净利润,8.5 FineDataLink数仓,系统数据更新：每天17:31、18:35自动执行任务；
8.净利润,8.6 数据验证结论,数据时间差（T是BI基准）：会员收入T+1； 4、效果极速版收入：https://finebi.matrixback.com/decision#/directory?activeTab=32a1710a-a13d-4eb9-9274-769bf42285cf
9.M-ROE,9.5 FineDataLink数仓,5、数据更新时点
9.M-ROE,9.5 FineDataLink数仓,数据更新：每天6:30自动执行任务；
10.负反馈率,10.5 FineDataLink数仓,数据更新时点及可查看的业务数据日期
10.负反馈率,10.5 FineDataLink数仓,数据更新结束时间：T+1上午十点可查看T+2的完整数据，T+1晚上九点可查看T+1的完整数据。
11.CLV,11.2指标口径/计算规则,新增用户：国内&国际新增用户：日：国内&国际每天新增的用户数，月：国内&国际每月新增的用户数。
11.CLV,11.5 FineDataLink数仓,5、数据更新时点及可查看的业务数据日期
11.CLV,11.5 FineDataLink数仓,数据更新结束时间：T+2晚上九点可查看T+2的完整数据。
12.CLV-国内,12.5 FineDataLink数仓,4、数据更新时点及可查看的业务数据日期
12.CLV-国内,12.5 FineDataLink数仓,数据更新结束时间：T+2晚上九点可查看T+2的完整数据。
13.CLV-国际,13.5 FineDataLink数仓,4、数据更新时点及可查看的业务数据日期
13.CLV-国际,13.5 FineDataLink数仓,数据更新结束时间：T+1上午十点可查看T+2的完整数据，T+1晚上九点可查看T+1的完整数据。
14.DAU,14.5 FineDataLink数仓,4、数据更新时点及可查看的业务数据日期
14.DAU,14.5 FineDataLink数仓,数据更新结束时间：T+1上午十点可查看T+2的完整数据，T+1晚上九点可查看T+1的完整数据。
15.业务总览-国际化,15.3 FineDataLink数仓,1、数据同步过程详见FineDataLink的【CLV-国际】、【app首页指标】任务，且数据更新时点一致。
16.业务总览-会员,,1、指标清单、指标口径/计算规则、数据溯源、FineDataLink数仓、数据更新时点同【营业收入-会员】一致。
17.业务总览-TOB,17.5 FineDataLink数仓,5、数据更新时点
17.业务总览-TOB,17.5 FineDataLink数仓,TOB仅有月维度数据，页面漏斗数据用的CRM接口数据，每日8:00、20:00更新接口数据；页面词云图、服务类型、行业类型用到的数据来源于每月财务结账后确认的营收。
18.业务总览-广告,,指标清单、指标口径/计算规则、数据溯源、FineDataLink数仓、数据更新时点同【营业收入-广告】一致。
