page_title,subsection_title,text
1.首页,1.2指标口径/计算规则,友盟单价：友盟统计口径的获客单价，如果是双端友盟新增那就是双端的友盟单价。
1.首页,1.2指标口径/计算规则,日均活跃渗透率：在统计周期(周/月)内，墨迹天气App的活跃用户数（日活/月活）占全网活跃用户数的比例。
1.首页,1.2指标口径/计算规则,日均安装渗透率：在统计周期(周/月)内，墨迹天气App的日均新安装用户数占全网总日均新安装用户数的比例。
1.首页,1.2指标口径/计算规则,FW国际综合排名：ForecastWatch（以下简写为FW）比赛国际排名。
1.首页,1.2指标口径/计算规则,品牌声量占比：搜索“墨迹天气”品牌词的百度指数在搜索各个竞品（包含墨迹天气）品牌词的指数的占比。
1.首页,1.2指标口径/计算规则,广告营收占比：广告营收在总营收中的占比。
1.首页,1.2指标口径/计算规则,新增用户占比：墨迹天气的新安装用户在整体天气大盘的新安装用户的占比。
1.首页,1.2指标口径/计算规则,现金结余：现金结余是指企业在一定时期结束时，实际拥有的可随时支配的现金及现金等价物总额。
2.净现金流,2.2指标口径/计算规则,1、净现金流=现金流入-现金流出
2.净现金流,2.2指标口径/计算规则,以现金流水详情中收付款分类映射表的看板项目归集数据
2.净现金流,2.2指标口径/计算规则,2、资产类现金合计=应收汇票+可用资金+投资理财
2.净现金流,2.2指标口径/计算规则,应收汇票：查询时间大于等于票据接收日期、小于票据到期日的票据金额
2.净现金流,2.2指标口径/计算规则,可用资金：查询时间的银行账户余额
2.净现金流,2.2指标口径/计算规则,投资理财：查询时间大于等于理财开始时间、小于理财结束时间的理财金额
2.净现金流,2.2指标口径/计算规则,3、负债合计：查询时间大于等于负债开始时间、小于负债结束时间的金融机构负债金额合计
3.营业收入,3.2指标口径/计算规则,1、日维度：营业收入与净利润数据口径一致，两页面项目对应关系见下表。
3.营业收入,3.2指标口径/计算规则,营业收入=广告+TOB+会员+国际化+其他
3.营业收入,3.2指标口径/计算规则,广告收入=自营广告+外包广告
3.营业收入,3.2指标口径/计算规则,自营广告=自营品牌+自营电商+自营效果
3.营业收入,3.2指标口径/计算规则,2、月维度
3.营业收入,3.2指标口径/计算规则,营业收入=广告+TOB+会员+国际化+其他
3.营业收入,3.2指标口径/计算规则,DAAS收入= TOB收入-SAAS收入
4.营业收入-广告,4.2指标口径/计算规则,1、营业收入-广告页面的【广告收入】指标卡与营业收入页面的【广告】指标卡数据一致。
4.营业收入-广告,4.2指标口径/计算规则,2、计算口径
4.营业收入-广告,4.2指标口径/计算规则,广告arpu=广告收入÷DAU
4.营业收入-广告,4.2指标口径/计算规则,总eCPM=广告收入÷曝光×1000
5.营业收入-会员,5.2指标口径/计算规则,在【会员指标明细】数据中以新老会员类型、会员卡种两个维度进行数据展示。新老会员类型包含新会员召回、新会员纯新归到新会员，其他类型都是老会员。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化广告收入：【第三方广告收入】的广告营收数据，日：当日的国际化广告收入汇总，月：当月的每日国际化广告收入汇总。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化广告DAU(剔除3天新用户)：国际广告场景中，排除注册时间≤3 天的新用户后，活跃的独立用户数，日：当日的活跃用户数，月：当月的活跃用户数汇总。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化广告ARPU：国际广告业务单用户平均收入，日：当日国际化广告收入/当日国际化广告DAU，月：当月的每日国家化广告收入汇总/当月的活跃用户数汇总。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化广告总曝光量：国际广告业务广告被展示的总次数，日：当日国际广告业务中所有广告的曝光次数总和，月：当月国际广告业务中所有广告的曝光次数汇总。
6.营业收入-国际化广告,6.2指标口径/计算规则,国际化总eCPM：千次展示有效收入，日：当日国际化广告收入/当日国际化广告总曝光量/1000，月：当月的每日国际化广告收入汇总/当月国际广告业务中所有广告的曝光次数汇总/1000。
6.营业收入-国际化广告,6.2指标口径/计算规则,库存总数：日：当日广告投放机会的潜在存量，月：当月广告投放机会的潜在存量。
6.营业收入-国际化广告,6.2指标口径/计算规则,填充率：通常指除核心 / 主要位置外，剩余辅助性位置的内容（如广告、资讯、推荐信息等）被成功填充的比例，是衡量资源利用效率的重要指标，日：（实际填充内容的位置数量_日÷可用于填充的“其他位置”总数量_日）× 100%，月：（实际填充内容的位置数量_月÷可用于填充的“其他位置”总数量_月）。
6.营业收入-国际化广告,6.2指标口径/计算规则,点击_漏斗：日：当日点击广告的次数，月：当月点击广告的次数汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化会员流水美元：通过其会员用户产生的所有资金交易总额，核心反映会员用户对业务的整体消费贡献能力，日：当日【国际化成功支付订单明细】的流水数据，月：当月【国际化成功支付订单明细】的流水数据汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化会员订单数：当日购买会员的人数去重，日：去重统计当日购买会员的人数，月：去重统计当月购买会员的人数汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化老会员流水：历史上有会员订单，且会员过期天数在 180 天及以内（即会员过期时间未超过 180 天）时，再次购买会员的用户所产生的流水（按日统计），日：当日统计老会员续费单流水，月：当月统计老会员续费单流水汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化老会员流水_月卡：老会员卡种分类的月卡流水，日：当日统计老会员月卡流水，月：当月统计老会员月卡流水汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化老会员流水_年卡：老会员卡种分类的年卡流水，日：当日统计老会员年卡流水，月：当月统计老会员年卡流水汇总。
7.营业收入-国际化会员,7.2指标口径/计算规则,国际化老会员流水_其他卡(周卡)：老会员卡种分类的其他卡流水，日： 当日老会员卡种分类的其他卡流水，月：当月老会员卡种分类的其他卡流水汇总。
