page_title,subsection_title,text_count,table_count,image_count,table_ids,has_indicator_table,has_source_sql_table,has_validation_section
1.首页,1.1指标清单,0,1,0,1,true,false,false
1.首页,1.2指标口径/计算规则,8,0,0,,false,false,false
1.首页,1.3数据溯源,7,1,0,2,false,true,false
1.首页,1.4来源环境对比数据,1,0,1,,false,false,false
1.首页,1.5 FineDataLink数仓,9,4,0,3;4;5;6,false,false,false
1.首页,1.6 数据验证结论,1,0,1,,false,false,true
2.净现金流,2.1指标清单,0,1,0,7,true,false,false
2.净现金流,2.2指标口径/计算规则,7,0,0,,false,false,false
2.净现金流,2.3数据溯源,3,1,0,8,false,true,false
2.净现金流,2.4来源环境对比数据,1,0,0,,false,false,false
2.净现金流,2.5 FineDataLink数仓,60,5,0,9;10;11;12;13,false,false,false
2.净现金流,2.6 数据验证结论,48,0,7,,false,false,true
3.营业收入,3.1指标清单,0,1,0,14,true,false,false
3.营业收入,3.2指标口径/计算规则,7,1,0,15,false,false,false
3.营业收入,3.3数据溯源,7,1,0,16,false,true,false
3.营业收入,3.4来源环境对比数据,1,0,0,,false,false,false
3.营业收入,3.5 FineDataLink数仓,10,5,0,17;18;19;20;21,false,false,false
3.营业收入,3.6 数据验证结论,2,0,4,,false,false,true
4.营业收入-广告,4.1指标清单,0,1,0,22,true,false,false
4.营业收入-广告,4.2指标口径/计算规则,4,0,2,,false,false,false
4.营业收入-广告,4.3数据溯源,6,1,0,23,false,true,false
4.营业收入-广告,4.4来源环境对比数据,1,0,0,,false,false,false
4.营业收入-广告,4.5 FineDataLink数仓,7,3,0,24;25;26,false,false,false
4.营业收入-广告,4.6 数据验证结论,1,0,0,,false,false,true
5.营业收入-会员,5.1指标清单,0,1,0,27,true,false,false
5.营业收入-会员,5.2指标口径/计算规则,1,0,0,,false,false,false
5.营业收入-会员,5.3数据溯源,3,1,0,28,false,true,false
5.营业收入-会员,5.4来源环境对比数据,1,0,0,,false,false,false
5.营业收入-会员,5.5 FineDataLink数仓,7,4,0,29;30;31;32,false,false,false
5.营业收入-会员,5.6 数据验证结论,0,0,2,,false,false,true
6.营业收入-国际化广告,6.1指标清单,0,1,0,33,true,false,false
6.营业收入-国际化广告,6.2指标口径/计算规则,8,0,0,,false,false,false
6.营业收入-国际化广告,6.3数据溯源,3,1,0,34,false,false,false
6.营业收入-国际化广告,6.4来源环境对比数据,0,0,1,,false,false,false
6.营业收入-国际化广告,6.5 FineDataLink数仓,8,3,0,35;36;37,false,false,false
6.营业收入-国际化广告,6.6 数据验证结论,0,0,2,,false,false,true
7.营业收入-国际化会员,7.1指标清单,0,1,0,38,true,false,false
7.营业收入-国际化会员,7.2指标口径/计算规则,19,0,0,,false,false,false
7.营业收入-国际化会员,7.3数据溯源,4,1,0,39,false,true,false
7.营业收入-国际化会员,7.4来源环境对比数据,0,0,1,,false,false,false
